"id","code","name","user_type_id/id","reconcile","chart_template_id/id","tag_ids/id"
"chart306","306","ULEPSZENIE ŚRODKÓW TRWAŁYCH","account.data_account_type_fixed_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart311","311","Materiały na składzie","account.data_account_type_current_assets","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart330","330","Towary handlowe","account.data_account_type_current_assets","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart339","339","Towary handlowe w przerobie","account.data_account_type_current_assets","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart394","394","Przedmioty długotrwałego użytku","account.data_account_type_fixed_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart399","399","ZALICZKI ZAKUP","account.data_account_type_receivable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart401","401","Amortyzacja","account.data_account_type_depreciation","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart410","410","KOSZTY NKUP","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart411","411","Zużycie materiałów","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart419","419","Energia","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart420","420","ZUŻYCIE WODY I ŚCIEKÓW","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart421","421","Obróbka obca","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart422","422","WYPOSAŻENIE","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart426","426","Usługi transportowe","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart427","427","Usługi remontowe","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart429","429","Inne usługi obce","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart431","431","Wynagrodzenia","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart432","432","Świadczenia na rzecz pracowników","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart445","445","Ubezpieczenia społeczne i inne narzuty na wynagr.","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart461","461","Podatki i opłaty","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart462","462","Usługi bankowe","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart463","463","Podróże służbowe","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart464","464","Koszty reprezentacji i reklamy","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart466","466","UBEZPIECZENIA","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart469","469","Pozostałe koszty proste","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart490","490","Rozliczenie kosztów","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart490","499","KOSZTY NKUP","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart643","643","Remonty rozliczane w czasie","account.data_account_type_current_assets","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart645","645","Roliczenie kosztów spółki w organizacji","account.data_account_type_current_assets","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart649","649","Inne rozliczenia międzyokresowe kosztów","account.data_account_type_current_assets","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart650","650","Rozliczenia międzyokresowe kosztów finansowych","account.data_account_type_current_assets","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart660","660","Aktywa z tytułu odroczonego podatku dochodowego","account.data_account_type_fixed_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart702","702","Przychody ze sprzedaży usług","account.data_account_type_revenue","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart712","712","Koszt własny sprzedanych usług","account.data_account_type_direct_costs","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart731","731","Przychody ze sprzedaży towarów","account.data_account_type_revenue","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart732","732","Wartość sprzedanych towarów","account.data_account_type_direct_costs","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart741","741","Przychody ze sprzedaży materiałów","account.data_account_type_revenue","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart742","742","Wartość sprzedanych materiałów","account.data_account_type_direct_costs","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart751","751","Koszty z operacji finansowych","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart752","752","Przychody z operacji finansowych","account.data_account_type_revenue","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart753","753","KOSZTY FINANSOWE NKUP","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart754","754","KOSZTY OPERACYJNE NKUP","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart761","761","Pozostałe koszty operacyjne","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart762","762","Pozostałe przychody operacyjne","account.data_account_type_revenue","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart763","763","POZOSTAŁE PRZYCHODY OPERACYJNE NP","account.data_account_type_revenue","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart803","803","Kapitał zakładowy","account.data_account_type_equity","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart804","804","Kapitał zapasowy","account.data_account_type_equity","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart806","806","Kapitał z aktualizacji wyceny","account.data_account_type_equity","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart820","820","Rozliczenie wyniku finansowego","account.data_unaffected_earnings","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart842","842","Rozliczenie międzyokresowe przychodów","account.data_account_type_prepayments","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart843","843","Rezerwa na podatek dochodowy","account.data_account_type_current_liabilities","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart844","844","Rezerwy na przewidywane zobowiązania i straty","account.data_account_type_non_current_liabilities","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart852","852","ZFŚS","account.data_account_type_non_current_liabilities","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart858","858","Inne fundusze specjalne","account.data_account_type_non_current_liabilities","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart860","860","Wynik finansowy","account.data_account_type_current_liabilities","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart870","870","Obowiązkowe odpisy wyniku finansowego","account.data_account_type_non_current_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""

